,display_size,disk_space,discount_price,old_price,ratings_5max,graphics_card_score,processor_score,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Huawei,brand_Lenovo,brand_MSI,brand_Microsoft,disk_type_Flash,disk_type_HDD,disk_type_SSD,disk_type_eMMC
121,13.3,256.0,4899.0,4899.0,4.3,96,5977,0,0,0,1,0,0,0,0,0,0,0,1,0
122,14.0,128.0,3599.0,3599.0,3.8,932,5977,0,0,0,1,0,0,0,0,0,0,1,0,0
123,13.3,256.0,3149.0,3149.0,0.0,932,5977,0,0,0,1,0,0,0,0,0,0,0,1,0
124,15.6,1024.0,2249.0,2249.0,3.7,1931,3398,1,0,0,0,0,0,0,0,0,0,1,0,0
125,14.0,128.0,3399.0,3399.0,0.0,1931,6131,0,0,0,1,0,0,0,0,0,0,1,0,0
126,14.0,128.0,3899.0,3899.0,0.0,1931,6388,0,0,0,1,0,0,0,0,0,0,1,0,0
127,13.5,128.0,4199.0,4199.0,4.1,1050,5977,0,0,0,0,0,0,0,0,1,0,0,1,0
128,13.5,256.0,5399.0,5399.0,0.0,1050,5977,0,0,0,0,0,0,0,0,1,0,0,1,0
129,14.0,64.0,1099.0,1099.0,0.0,333,1436,0,0,0,0,1,0,0,0,0,0,0,0,1
130,14.0,128.0,4099.0,4099.0,0.0,2559,6388,0,0,0,1,0,0,0,0,0,0,1,0,0
131,15.4,256.0,10799.0,10799.0,0.0,3141,6515,0,1,0,0,0,0,0,0,0,0,0,1,0
132,15.4,512.0,12499.0,12499.0,0.0,3678,18864,0,1,0,0,0,0,0,0,0,0,0,1,0
133,13.3,256.0,7999.0,7999.0,0.0,1796,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
134,13.3,512.0,8699.0,8699.0,0.0,1796,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
135,18.4,256.0,9071.0,9071.0,0.0,15021,7814,0,0,0,0,0,0,0,1,0,0,1,0,0
136,17.3,256.0,8189.0,8189.0,0.0,13359,6961,0,0,1,0,0,0,0,0,0,0,1,0,0
137,17.3,256.0,7507.0,7507.0,0.0,7313,6515,1,0,0,0,0,0,0,0,0,0,1,0,0
138,15.4,512.0,6824.0,6824.0,0.0,1376,10082,0,1,0,0,0,0,0,0,0,0,0,1,0
139,15.6,256.0,6688.0,6688.0,3.7,15021,7814,0,0,0,1,0,0,0,0,0,0,1,0,0
140,15.6,1024.0,6483.0,6483.0,0.0,6342,6961,0,0,0,1,0,0,0,0,0,0,1,0,0
141,15.4,256.0,7679.0,7679.0,4.6,3141,10082,0,1,0,0,0,0,0,0,0,0,0,1,0
142,13.3,1024.0,4249.0,4249.0,0.0,921,3666,0,0,0,0,1,0,0,0,0,0,0,1,0
143,14.0,512.0,3799.0,4999.0,4.4,2359,6388,0,0,1,0,0,0,0,0,0,0,0,1,0
144,15.4,512.0,10699.0,11899.0,4.4,3678,6515,0,1,0,0,0,0,0,0,0,0,0,1,0
145,13.3,512.0,3539.0,3539.0,4.1,921,3666,0,0,0,0,1,0,0,0,0,0,0,1,0
146,12.0,256.0,4669.0,5669.0,5.0,735,1502,0,1,0,0,0,0,0,0,0,0,0,1,0
147,15.6,128.0,2979.0,3779.0,3.9,2359,5955,0,0,0,0,1,0,0,0,0,0,1,0,0
148,15.6,128.0,2599.0,3299.0,0.0,1931,5955,0,0,1,0,0,0,0,0,0,0,1,0,0
149,14.0,256.0,2499.0,3199.0,0.0,1931,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
150,15.6,16.0,2409.0,3049.0,0.0,1931,5977,0,0,0,0,1,0,0,0,0,0,1,0,0
151,15.6,16.0,2409.0,3049.0,0.0,1931,5977,0,0,0,0,1,0,0,0,0,0,1,0,0
152,14.0,1024.0,3399.0,3899.0,0.0,2359,5955,1,0,0,0,0,0,0,0,0,0,1,0,0
153,15.6,128.0,2099.0,2599.0,0.0,1487,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
154,15.6,500.0,1199.0,1199.0,0.0,96,2026,0,0,0,0,1,0,0,0,0,0,1,0,0
155,15.6,1024.0,1429.0,1429.0,0.0,96,2288,0,0,0,1,0,0,0,0,0,0,1,0,0
156,13.3,128.0,5269.0,5669.0,4.6,1309,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
157,15.6,1024.0,2169.0,2519.0,4.0,1116,5977,0,0,0,0,0,0,1,0,0,0,1,0,0
158,15.6,1024.0,1239.0,1549.0,4.0,921,2591,1,0,0,0,0,0,0,0,0,0,1,0,0
159,15.6,1024.0,1599.0,1899.0,5.0,921,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
160,14.0,2048.0,1589.0,1889.0,3.6,921,3677,0,0,0,0,0,0,1,0,0,0,1,0,0
161,14.0,1024.0,1849.0,2099.0,3.3,1050,5977,0,0,0,0,0,0,1,0,0,0,1,0,0
162,14.0,2048.0,1699.0,1889.0,3.3,921,3677,0,0,0,0,0,0,1,0,0,0,1,0,0
163,14.0,1024.0,2519.0,2519.0,5.0,932,5977,0,0,0,0,1,0,0,0,0,0,1,0,0
164,15.4,256.0,8189.0,8189.0,4.5,1464,10082,0,1,0,0,0,0,0,0,0,0,0,1,0
165,14.0,500.0,1369.0,1369.0,0.0,153,1436,0,0,0,0,1,0,0,0,0,0,1,0,0
166,15.6,1024.0,1779.0,1779.0,5.0,921,2591,0,0,0,0,1,0,0,0,0,0,1,0,0
167,15.6,1024.0,2299.0,2299.0,3.0,1050,5955,0,0,0,0,1,0,0,0,0,0,1,0,0
168,13.3,512.0,8499.0,8499.0,0.0,1607,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
169,15.6,128.0,3779.0,3779.0,0.0,2359,5955,0,0,0,0,1,0,0,0,0,0,1,0,0
170,15.6,1024.0,1779.0,1779.0,0.0,862,2288,0,0,0,0,1,0,0,0,0,0,1,0,0
171,15.6,2048.0,3149.0,3149.0,0.0,932,5955,0,0,0,0,0,0,1,0,0,0,1,0,0
172,13.3,1024.0,6609.0,6609.0,0.0,2359,3666,0,0,0,0,1,0,0,0,0,0,0,1,0
173,14.0,1024.0,3039.0,3039.0,0.0,1543,5977,0,0,0,0,1,0,0,0,0,0,1,0,0
174,15.6,1024.0,2749.0,2749.0,0.0,549,3666,0,0,0,1,0,0,0,0,0,0,1,0,0
175,15.6,1024.0,3249.0,3249.0,0.0,902,3666,0,0,0,1,0,0,0,0,0,0,1,0,0
176,13.3,256.0,3989.0,3989.0,4.1,921,3398,0,0,0,0,1,0,0,0,0,0,0,1,0
177,17.3,256.0,6199.0,6199.0,0.0,1543,3666,0,0,0,0,1,0,0,0,0,0,1,0,0
178,15.6,1024.0,1779.0,1779.0,3.6,862,2288,0,0,0,0,1,0,0,0,0,0,1,0,0
179,15.6,512.0,8999.0,8999.0,0.0,6342,10185,0,0,0,1,0,0,0,0,0,0,0,1,0
180,15.6,500.0,1649.0,1649.0,3.9,862,2288,1,0,0,0,0,0,0,0,0,0,1,0,0
181,13.3,128.0,3149.0,3149.0,0.0,1050,6131,0,0,0,0,1,0,0,0,0,0,0,1,0
182,13.3,256.0,4399.0,4399.0,0.0,1050,5977,0,0,0,1,0,0,0,0,0,0,0,1,0
183,15.6,2048.0,2999.0,2999.0,3.8,1931,5955,1,0,0,0,0,0,0,0,0,0,1,0,0
184,13.3,1024.0,6719.0,6719.0,4.0,2359,5955,0,0,0,0,1,0,0,0,0,0,0,1,0
185,15.6,1024.0,2939.0,2939.0,4.0,932,5977,0,0,0,1,0,0,0,0,0,0,1,0,0
186,15.6,1024.0,2549.0,2549.0,0.0,856,5977,0,0,0,1,0,0,0,0,0,0,1,0,0
187,15.6,1024.0,2519.0,2519.0,4.2,932,5977,0,0,0,0,0,0,1,0,0,0,1,0,0
188,14.0,1024.0,1779.0,1779.0,0.0,96,2288,0,0,0,0,0,0,1,0,0,0,1,0,0
189,14.0,256.0,3779.0,3779.0,0.0,2359,5977,0,0,1,0,0,0,0,0,0,0,0,1,0
190,15.6,8.0,3459.0,3459.0,0.0,1543,3666,0,0,0,0,1,0,0,0,0,0,1,0,0
191,15.6,1024.0,1889.0,1889.0,0.0,96,2288,0,0,0,1,0,0,0,0,0,0,1,0,0
192,15.6,1024.0,2469.0,2469.0,0.0,549,3398,0,0,0,1,0,0,0,0,0,0,1,0,0
193,13.3,256.0,3779.0,3779.0,0.0,96,3398,0,0,0,0,1,0,0,0,0,0,0,1,0
194,13.3,256.0,7768.95,7768.95,0.0,1335,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
195,15.6,1024.0,2419.0,2419.0,0.0,856,3398,0,0,0,0,1,0,0,0,0,0,1,0,0
196,15.6,8.0,3459.0,3459.0,0.0,1543,3666,0,0,0,0,1,0,0,0,0,0,1,0,0
197,13.3,256.0,6499.0,6499.0,4.6,1309,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
198,13.3,512.0,4829.0,4829.0,4.0,921,5955,0,0,0,0,1,0,0,0,0,0,0,1,0
199,15.6,1024.0,2249.0,2249.0,3.3,649,3398,0,0,0,1,0,0,0,0,0,0,1,0,0
200,15.6,1024.0,2099.0,2099.0,3.8,96,5977,0,0,0,0,0,0,1,0,0,0,1,0,0
201,15.6,128.0,3299.0,3299.0,4.0,2359,5955,0,0,0,0,0,1,0,0,0,0,1,0,0
202,15.4,256.0,10199.0,10199.0,0.0,3141,6515,0,1,0,0,0,0,0,0,0,0,0,1,0
203,15.4,512.0,11899.0,11899.0,4.4,3678,6515,0,1,0,0,0,0,0,0,0,0,0,1,0
204,15.6,1024.0,2299.0,2299.0,0.0,856,5977,0,0,0,1,0,0,0,0,0,0,1,0,0
